"Nama","Alamat","No. Telp","Website","Jenis Entitas","Jenis Kegiatan","Tgl Input","Keterangan"
"Jadikaya/ jadikaya.net","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","SP 08/SWI/IX/2020 Skema piramida bermodus penjualan produk digital dengan sistem penjualan berjenjang berbentuk market place"
"Banjir Rizki Community (BRC)/ banjirrizki.com","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","SP 08/SWI/IX/2020 Skema piramida bermodus penjualan produk digital dengan sistem penjualan berjenjang"
"Duitmasukterus.com","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","SP 08/SWI/IX/2020 Skema piramida bermodus penjualan produk digital dengan sistem penjualan berjenjang"
"Path of Dream/ pathofdream.com","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Skema ponzi dengan modus membantu sesama"
"Program Ghaniyyu100/ Komunitas Ghaniyyu100/ www.ghaniyyu100.com","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Skema ponzi dengan modus sedekah kepada sesama anggota yang tergabung dalam komunitas."
"Sedekah 100","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Skema ponzi dengan modus sedekah untuk terbebas dari utang dan riba"
"Yayasan Solusi Indonesia Sejahtera/ 2milyard.com","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Skema piramida bermodus ebook dengan sistem penjualan berjenjang"
"Automatic Profit Landing/profitlanding.com","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Trading dan investasi di digital market currency dengan janji imbal hasil tetap sebesar 300%"
"PT Berkah Silika Jaya (Silika Jaya/ BSJ)","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","SP 08/SWI/IX/2020 Perdagangan dengan sistem jaringan tanpa izin."
"Himpunan Sosial Mandiri Indonesia/Play 100 Club","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Kegiatan jasa periklanan dengan sistem jaringan tanpa izin."
"Midjobs/ Midjobs Indonesia","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Kegiatan jasa periklanan dengan skema penjualan berjenjang tanpa izin"
"Netizen Charity/ netizenchar.com","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Kegiatan jasa periklanan dengan skema penjualan berjenjang tanpa izin"
"PT Sasuka Online Indonesia/ Sasuka Online/ sasuka.online","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","SP 08/SWI/IX/2020 Aplikasi belanja dan bisnis online dengan pemberian bonus berjenjang"
"PT Inovatif Sinergi Indonesia (Affiliate Junction Indonesia)/ Affiliatejunctionindonesia.id","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","SP 08/SWI/IX/2020 Aplikasi belanja dan bisnis online dengan pemberian bonus berjenjang"
"Nge JOB/ ngejob.com","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Kegiatan jasa transportasi dengan skema penjualan berjenjang tanpa izin."
"Autogajian/Real Sultan (Yayasan Indonesia Urun Berkah)","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","SP 08/SWI/IX/2020 Skema piramida bermodus penjualan produk dengan sistem penjualan berjenjang"
"King Poin (PT Forkom Digital Indonesia)","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","SP 08/SWI/IX/2020 Kegiatan periklanan digitat menggunakan sistem referral atau member get member"
"Koperasi Kencana Madani Investama","","","","Investasi Ilegal","Lain - Lain","01/06/2022","?SP 09/SWI/X/2020 Koperasi yang menawarkan pinjaman online di luar anggota tanpa izin"
"KSP Syariah Baitussalam ? Kredit Online Tanpa Riba","","","","Investasi Ilegal","Lain - Lain","01/06/2022","?SP 09/SWI/X/2020 Koperasi simpan pinjam dengan menggunakan logo OJK tanpa izin"
"PT Berkah Emas Indonesia","","","","Investasi Ilegal","Lain - Lain","01/06/2022","?SP 09/SWI/X/2020 Penjualan logam emas mulia dengan sistem jaringan tanpa izin"
"Propana Reload (CV Prospek Mitra Abadi)/ propanareload.web.id/ propanareload.id)","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 Penjualan jasa pengisian isi ulang pulsa dengan memberikan bonus berjenjang"
"Kios Pulsa (CV Multi Payment Nusantara) kiosPulsaElektrik.Net)","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 Penjualan jasa pengisian isi ulang pulsa dengan memberikan bonus berjenjang"
"Jutawan 100/ Komunitas Jutawan 100 (Aji D)/ jutawan100.com","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 Kegiatan skema piramida bermodus penjualaan produk digital dengan sistem penjualan langsung."
"Auto Jutawan/ Auto Jutawan Community/ autojutawan.com","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Kegiatan money game berbasis komunitas dengan menyetorkan sejumlah uang tertentu."
"Fisco Club/ Fisco Club Community/ https://fisco-reborn.club/","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Kegiatan money game berbasis komunitas dengan modus membantu sesama"
"Like Share/ http://likeid567.com/","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 Kegiatan perdagangan jasa dengan sistem penjualan langsung"
"Bios (PT Cipta Energy Karya Abadi Indonesia)/ https://www.cekaibios.com/","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 Menjalankan kegiatan usaha dengan sistem penjualan langsung tanpa izin usaha"
"Digital Bisnis Online Solutions Community - DBOSS.CO/ https://www.officialdboss.com","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 Perdagangan dengan sistem jaringan tanpa izin"
"PT Braderhud Energi Indonesia (BRADERHUD)/PT Berlian Internasional Teknologi","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 Penjualan langsung tanpa izin"
"PT Nunggal Tali Roso (NETERO)","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 E-commerce dengan sistem jaringan tanpa izin"
"PT Caturkerta Raharja (Belilapak.id)","","","","Investasi Ilegal","Penjualan Langsung/ MLM","01/06/2022","?SP 09/SWI/X/2020 E-commerce dengan sistem jaringan tanpa izin"
"SHARE4PAY Indonesia","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Bisnis periklanan digital dengan sistem jaringan serta komisi tanpa izin"
"JD Union","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Money game"
"PT Kapital Asia International Group","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Penawaran pendanaan proyek-proyek tanpa izin"
"PT Buraq Nur Syariah","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi perumahan syariah tanpa izin"
"Grand Andalusia Village","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Perantara Perdagangan properti tanpa izin"
"Meeju Indonesia/ PT Indonesia Villajaya","","","","Investasi Ilegal","Lain - Lain","01/06/2022","?SP 09/SWI/X/2020 Penghimpunan dana dengan kedok penjualan mie instan tanpa izin"
"Saham KRONOS","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Penawaran investasi saham dengan imbal hasil tetap tanpa izin"
"http://bit.ly/danainvestasiberkah","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Penawaran investasi dengan imbal hasil tetap tanpa izin"
"t.me/ellenmayins; t.me/ellenmayin  (duplikasi nama Ellen May Institute)","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi uang atau penghimpunan dana tanpa izin"
"WINNER SYSTEM","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi uang tanpa izin"
"GoIns/ http://www.golns.co/","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi uang tanpa izin"
"http://www.recoverysuksesqq.com/","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi uang tanpa izin"
"Tanamdanainvestasiindonesia","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi uang tanpa izin"
"Arisan Group Facebook ?All Member Day? dan Investasi Tas Branded yang dilakukan Sdri. Dewi Yulianti","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi uang tanpa izin"
"PT Hanan Putihria Sekuritas (Duplikasi PT Henan Putihrai Sekuritas yang memiliki izin)","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi uang tanpa izin"
"http://profit-ark.net/ (duplikasi PT Asia Raya Capital)","","","","Investasi Ilegal","Money Game/ Ponzi","01/06/2022","?SP 09/SWI/X/2020 Investasi uang tanpa izin"
"http://www.cam-profit.com/ (duplikasi PT Capital Aset Management yang punya izin)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Investasi uang tanpa izin"
"QUPO/QupoFX/Uangi/Bagibagi","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Platform penitipan dana kepada trader atau Investasi uang tanpa izin"
"PT Hafizc Koin Asia (INMAX)","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Digital asset exchanger, edukasi perdagangan aset kripto, penerbit aset kripto tanpa izin"
"GIC Trade (https://gictrade.id https://gictradeindo.com)","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Digital asset exchanger/ pedagang aset kripto tanpa izin"
"Binance (https://www.binance.com/en; https://binance.zendesk.com/)","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Digital asset exchanger/ pedagang aset kripto tanpa izin"
"Finantech Vastgoed Investering","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Investasi aset kripto (cryptocurrency) tanpa izin"
"Fvigroup Etherpay Indonesia","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Investasi aset kripto (cryptocurrency) tanpa izin"
"PeopleGiveAway/ http://accounts.peoplegiveaway.com","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Investasi aset kripto (cryptocurrency) tanpa izin"
"BTC Dana","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Investasi aset kripto (cryptocurrency) tanpa izin"
"EDCCash","","","","Investasi Ilegal","Crytocurrency/ Cryptoasset","01/06/2022","?SP 09/SWI/X/2020 Investasi aset kripto (cryptocurrency) tanpa izin"
"Ford-FX Community","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"http://www.trading-uf.com/ (Duplikasi nama PT Universal Futures)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Insta Forex (https://www.ifxkebumen.com/ https://bfxinsta.id https://www.ifxkita.com/ https://www.proifx.id https://www.daftar-instaforex.com https://www.instaforex-id.com https://www.instafx.net/ https://www.ifxreal.com https://gopundigo.com/ https://www.myinstafx.com)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Binomo (https://binomoindonesia.com https://idbinomo.com/ https://binomo-t.com https://binomoworld.com https://binpartner.com/id)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Olymp Trade (https://official.olymptrade-com.com https://olymptradelogin.com/ https://olymptrade.cc/ https://olymptrade-com.com https://olymptradeidn.id https://olymptrade-com.id https://www.investasi-pf.id)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Octa FX (https://www.tradingdirumah.com https://www.dirumahaja.site https://www.octafxindo.org/ https://www.octajava.net https://www.kerjatrading.com https://octafx.co.id/ https://octaforex.co.id/)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"GIC Trade (https://gictrade.id https://gictradeindo.com)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"FBS (http://www.myfbs.co.id https://fbstrade.asia https://fbsmy.com/ https://fbs-trade.asia https://fbs-china.cn https://fbsbroker.com/ https://fbsasia.co.id/)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"XM Trader (https://www.xmtradefx.com https://www.xmtrading.com/ https://www.xmtrade.id/)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Bfxrebate/ https://bfxrebate.in","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"eropa graha/ https://eropagraha.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Superforex/ https://www.superforex.id","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Euromax/ https://euromax.id","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Bisnistrading/ https://bisnistrading.co.id","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"otm forex/ https://www.otm-forex.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"isf-forex/ http://isf-forex.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"justforex.co.id/ https://www.justforex.co.id","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Forexnusantara/ https://www.forexnusantara.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"PT Lippo Group/ https://www.ptlippogroup.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"HFX/ https://www.klikhfx.net","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Ijol pedia/ https://www.ijolpedia.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Lintastrading/ https://www.lintastrading.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Stable Tarde/ https://www.stabletrade.co.id/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://www.asiatradefx.id/ (Duplikasi PT Asia Trade Point Futures yang sudah memiliki izin)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Forexnessia Center/ https://www.forexnessiacenter.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"http://www.macofu.asia/ https://www.maxcofutures.info  (Duplikasi Maxco Futures yang sudah memiliki izin)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Tukar Balance/ https://tukarbalance.net","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"IQ Option (https://iqoptions.co.id/ https://iq-option.com https://iqoption.promo)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Weltrade Indonesia/ https://www.broker-weltrade.id","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Gainscope/ https://www.gainscope.trade/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Alpari (https://www.alparitrader.org/  https://www.alpari-markets.com)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Expert Option/ https://app.expertoptionasia.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Spectre.AI/ https://spectreai.co","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"MRG Premiere/ (https://mrgpremiere.trade/ https://mrgpberjangka.com)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Fullerton Markets/ https://www.fmindo.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Oanda/ https://www.cn-oanda.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Vantage Fx/ https://www.vantagefx.hk/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Uniglobe Markets/ https://www.uniglobemarkets.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Unochanger/ https://www.unochanger.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Solva Fx/ https://solvafx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Trader Hebat Indonesia/ https://www.traderhebatindonesia.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"XM/ https://www.xmbrokerfx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"FxBite/ https://www.idxdaily.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"TradingBite/ https://www.tradingbite.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"FX Open/ https://www.fxopen.co.uk","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Exness (https://www.exness.global https://www.exnessindo.id/ https://www.exness-indonesia.com/)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Pocket Option/ https://pocketoption.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"EagleFX/ https://www.eaglefx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"FxPro/ https://www.fxproidn.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Freshforex/ https://www.myfreshforex.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"IFC Markets/ https://www.ifcmarkets.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"JP Markets/ https://www.jpmarkets.co.za/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Doo Prime/ https://www.dooprime.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Admiral Markets/ https://admiralmarkets.com.au/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Sam Trade/ https://samtradefx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"FxStock/ https://fxstockbroker.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Osprey Fx/ https://ospreyfx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Ever Fx/ https://everfxglobal.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Fx glory/ https://fxglory.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Hugosway/ https://hugosway.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Templer Fx/ https://www.templerfx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Usg Fx/ https://usgfx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Titan Fx/ https://www.titanfx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Olive Fx/ https://olivefx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Lqd Fx/ https://lqdfx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Fx Brew/ https://www.fxbrew.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Cube Global Fx/ https://cubeglobalfx.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Tifia/ https://tifia.org/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Analisa Forex/ https://www.analisaforex.com","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Deposit FX Kilat - Instaforex Indonesia Shortcut/ https://depokilat.blogspot.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://eternityforex.com/ (Duplikasi Pialang Legal)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"www.investasi-pf.com (Duplikasi Pialang Legal)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://portalinterpan.com/ (Duplikasi PT Inter Pan Pasifik Futures)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://www.belajarforex.org/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://fxclmarkets.id","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"Rebate id/ https://rebate-id.com/id","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://www.forexbrokers.id/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"http://www.forexterkini.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://www.justforex.id/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://ubervest.id/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://forexstarmoon.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"http://smarttrader.co.id/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"http://lokalchanger.com/","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"https://igoptions.co.id","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
"http://investasi-otm.com/ (Duplikasi PT OTM Kapital Berjangka)","","","","Investasi Ilegal","Forex/ Futures","01/06/2022","?SP 09/SWI/X/2020 Trading forex/ Perdagangan berjangka tanpa izin"
